,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,trending,updated_github_id,github_release_downloads,monthly_downloads
12,Kyle King recipes,https://recipes.kyleking.me/,['arts'],KyleKing/recipes,,english,https://github.com/KyleKing/recipes,2017-09-13 00:21:11,2023-03-01 08:07:00,2023-01-27 03:48:13,427.0,8.0,,2.0,11.0,,10.0,5.0,2.0,11,True,2.0,MIT,2022-10-21 03:05:20,0.4.0,1.0,81.0,81.0,,,,
13,Keyvan Akbary,https://keyvanakbary.github.io/learning-notes/,[],keyvanakbary/learning-notes,,english,https://github.com/keyvanakbary/learning-notes,2017-01-30 20:52:21,2022-10-06 20:36:28,2022-01-15 16:58:33,108.0,,732.0,142.0,19.0,2.0,2.0,3088.0,3.0,10,True,2.0,,,,,,,,,,
14,Jesse Squires,https://jessesquires.github.io/TIL/,"['programming', 'python', 'activism']",jessesquires/TIL,,english,https://github.com/jessesquires/TIL,2017-12-22 16:57:51,2023-02-24 21:40:52,2023-02-24 21:40:52,335.0,2.0,8.0,17.0,3.0,,,268.0,4.0,10,True,2.0,MIT,,,,,,,,,
15,Richard Littauer,https://github.com/RichardLitt/knowledge,"['science', 'arts', 'python', 'programming']",RichardLitt/knowledge,,english,https://github.com/RichardLitt/knowledge,2015-10-31 18:29:39,2022-12-01 23:52:30,2022-12-01 23:52:26,278.0,,19.0,19.0,10.0,4.0,15.0,216.0,5.0,10,True,2.0,MIT,,,,,,,,,
16,Lee Byron,https://leebyron.com/til/,"['programming', 'linux']",leebyron/til,,english,https://github.com/leebyron/til,2022-01-04 00:11:18,2023-02-27 21:44:44,2023-02-27 21:44:10,203.0,7.0,4.0,5.0,,2.0,,55.0,,10,True,2.0,MIT,,,,,,,,,
17,Scott Spence,https://scottspence.com/posts,[],spences10/scottspence.com,,english,https://github.com/spences10/scottspence.com,2021-07-17 15:36:36,2023-03-01 16:49:23,2023-03-01 08:18:38,1623.0,256.0,8.0,2.0,491.0,1.0,2.0,31.0,9.0,10,True,2.0,,,,,,,,,,
18,Pensieve,https://paveloom.github.io/pensieve,"['programming', 'linux', 'science']",paveloom/paveloom.github.io,,english,https://github.com/paveloom/paveloom.github.io,2020-02-01 14:29:58,2023-03-01 15:32:32,2023-03-01 15:30:38,728.0,205.0,,1.0,60.0,,10.0,,4.0,10,True,2.0,MIT,,,,,,,,,
19,Bhupesh Varshney,https://til.bhupesh.me/,"['programming', 'linux', 'python']",Bhupesh-V/til,,english,https://github.com/Bhupesh-V/til,2019-06-18 06:09:22,2023-02-18 07:49:54,2023-02-18 07:49:52,327.0,4.0,12.0,2.0,2.0,,26.0,55.0,,9,True,2.0,CC0-1.0,,,,,,,,,
20,Wayanjimmy Notebook,https://notebook.wayanjimmy.xyz/,"['arts', 'programming', 'science', 'productivity']",wayanjimmy/notebook,,english,https://github.com/wayanjimmy/notebook,2019-07-04 11:37:40,2023-01-11 21:02:04,2020-10-10 03:49:33,489.0,,7.0,2.0,3.0,3.0,,28.0,3.0,9,True,2.0,MIT,,,,,,,,,
21,Gwern Branwen,https://www.gwern.net/,"['science', 'programming', 'arts']",gjord/gwern.net,,english,https://github.com/gjord/gwern.net,2014-07-03 17:41:01,2014-07-03 17:50:19,2014-07-03 17:50:18,8297.0,,20.0,4.0,,,,25.0,5.0,9,False,2.0,,,,,,,,,,
22,StrikingLoo (Luciano's Digital Garden),https://strikingloo.github.io,"['productivity', 'programming', 'python']",StrikingLoo/strikingloo.github.io,My personal wiki and blog.,english,https://github.com/StrikingLoo/strikingloo.github.io,2020-06-11 20:36:07,2023-03-01 09:37:18,2023-03-01 09:37:14,1445.0,32.0,3.0,3.0,20.0,,,4.0,4.0,9,True,2.0,,,,,,,,,,
23,Jethro's Braindump,https://braindump.jethro.dev/,"['science', 'linux', 'programming', 'activism']",jethrokuan/braindump,,english,https://github.com/jethrokuan/braindump,2017-03-02 14:55:34,2022-12-02 08:22:52,2022-12-02 08:22:44,574.0,1.0,87.0,19.0,29.0,4.0,10.0,331.0,6.0,8,True,2.0,,,,,,,-1.0,,,
24,mistermicheels learning notes,https://learning-notes.mistermicheels.com/about/about/,['programming'],mistermicheels/learning-notes,,english,https://github.com/mistermicheels/learning-notes,2019-04-13 20:39:28,2022-12-31 17:38:12,2022-12-31 11:20:16,284.0,1.0,39.0,7.0,16.0,,,207.0,2.0,8,True,2.0,CC-BY-4.0,,,,,,-1.0,,,
25,enkiv2,https://www.lord-enki.net/,"['arts', 'science']",enkiv2/misc,,english,https://github.com/enkiv2/misc,2016-05-13 19:55:51,2023-02-10 22:15:49,2023-02-10 22:15:36,1036.0,17.0,4.0,8.0,1.0,1.0,2.0,64.0,,8,True,2.0,,,,,,,,,,
26,Simon Vocella,https://github.com/voxsim/knowledge,"['science', 'programming']",voxsim/knowledge,,english,https://github.com/voxsim/knowledge,2017-02-10 13:21:49,2020-06-07 22:04:37,2020-06-07 22:04:32,1689.0,,6.0,6.0,,,,35.0,,8,True,2.0,,,,,,,,,,
27,Paul Copplestone,https://paul.copplest.one/knowledge/,"['arts', 'science', 'programming']",kiwicopple/paul.copplest.one,,english,https://github.com/kiwicopple/paul.copplest.one,2019-04-06 11:12:55,2023-02-28 13:47:35,2022-11-27 13:13:15,283.0,,16.0,3.0,51.0,,,33.0,9.0,8,True,2.0,,,,,,,,,,
28,Kirill Gorbachyonok,https://github.com/japanese-goblinn/knowledge-base,"['programming', 'productivity']",japanese-goblinn/knowledge-base,,english,https://github.com/japanese-goblinn/knowledge-base,2022-04-22 21:44:57,2023-02-05 22:47:10,2023-02-05 22:47:08,229.0,49.0,3.0,1.0,,,,19.0,,8,True,2.0,,2022-05-17 17:22:03,1.0,1.0,,,,,,
29,Marc Loupias,https://memo-dev.marc-loupias.fr/,"['programming', 'linux']",MarcLoupias/memo-dev,,english,https://github.com/MarcLoupias/memo-dev,2017-05-07 16:44:33,2023-02-28 09:19:19,2022-08-05 17:13:04,881.0,,2.0,4.0,59.0,,,13.0,3.0,8,True,2.0,ISC,,,,,,,,,
30,Jake Chvatal,https://wiki.jacob.chvatal.com/,[],jakeisnt/wiki,,english,https://github.com/jakeisnt/wiki,2020-07-06 23:00:29,2023-02-24 01:22:19,2023-02-24 01:22:10,756.0,52.0,2.0,2.0,8.0,1.0,24.0,7.0,4.0,8,True,2.0,,,,,,,,,,
31,Brian Turchyn,https://wiki.brianturchyn.net,"['health', 'productivity', 'programming']",b-turchyn/wiki,,english,https://github.com/b-turchyn/wiki,2022-04-11 14:41:41,2023-03-01 15:18:32,2023-03-01 15:18:30,579.0,105.0,,2.0,1.0,,,5.0,2.0,8,True,2.0,CC-BY-SA-4.0,,,,,,,,,
32,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,https://github.com/carlosdelfino/carlosdelfino.github.com,2011-02-01 11:59:36,2023-01-31 20:39:40,2023-01-31 20:39:24,1871.0,30.0,,2.0,11.0,,,2.0,20.0,8,True,1.0,MIT,,,,,,,,,
33,Omar Bahareth,https://wiki.omar.engineer/,"['programming', 'science']",obahareth/knowledge,,english,https://github.com/obahareth/knowledge,2018-10-01 15:35:49,2022-08-25 10:30:44,2022-08-10 09:10:09,123.0,,2.0,3.0,1.0,,,26.0,,7,True,2.0,MIT,,,,,,,,,
34,Maxime Vaillancourt,https://maximevaillancourt.com/notes,[],maximevaillancourt/maximevaillancourt.com,,english,https://github.com/maximevaillancourt/maximevaillancourt.com,2015-07-13 16:50:04,2023-01-31 00:03:08,2022-12-10 01:24:04,192.0,2.0,9.0,3.0,17.0,,6.0,26.0,3.0,7,True,2.0,,,,,,,,,,
35,pawamoy's website,https://pawamoy.github.io,"['programming', 'python', 'science']",pawamoy/website/,,english,https://github.com/pawamoy/website,2020-06-04 21:33:15,2022-09-22 18:15:29,2022-09-22 18:15:24,200.0,,4.0,5.0,2.0,3.0,,25.0,,7,True,2.0,,,,,,,,,,
36,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,https://github.com/rknightuk/intersect,2021-08-23 20:20:08,2023-02-22 12:57:17,2023-02-22 12:57:15,150.0,44.0,1.0,2.0,1.0,,,20.0,,7,True,2.0,,,,,,,,,,
37,Walter Teng,https://walterteng.com/garden,"['programming', 'productivity', 'arts']",davzoku/personal-website-v1,,english,https://github.com/davzoku/personal-website-v1,2021-06-15 15:25:18,2023-02-28 10:22:56,2023-02-15 13:28:28,179.0,11.0,,2.0,81.0,,,4.0,2.0,7,True,2.0,MIT,,,,,,,,,
38,nkintc,https://nkintc.gitbook.io/brainless/,"['arts', 'science', 'linux']",nkintc/nkintc.github.io,,english,https://github.com/nkintc/nkintc.github.io,2020-04-30 17:33:44,2022-09-22 21:54:10,2022-09-22 21:54:05,365.0,,,,2.0,,,,,7,True,2.0,MIT,,,,,,,,,
39,Karlicoss Exobrain,https://beepb00p.xyz/exobrain/,"['programming', 'arts', 'science', 'health', 'productivity']",karlicoss/exobrain,,english,https://github.com/karlicoss/exobrain,2020-03-07 16:16:24,2021-05-23 07:58:57,2021-05-23 07:58:48,102.0,,6.0,4.0,1.0,,1.0,65.0,,6,True,3.0,CC-BY-4.0,,,,,,,,,
40,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,https://github.com/slowernews/notebook,2018-02-10 10:44:54,2023-01-02 08:53:18,2023-01-02 08:53:12,436.0,7.0,1.0,3.0,,,1.0,35.0,,6,True,3.0,,,,,,,,,,
41,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,https://github.com/josephrexme/knowledge,2017-03-18 09:01:42,2021-10-29 15:05:30,2021-10-29 15:05:27,85.0,,1.0,5.0,,,1.0,29.0,,6,True,3.0,MIT,,,,,,,,,
42,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,2016-02-17 01:44:04,2023-01-16 05:47:27,2023-01-16 05:47:22,246.0,2.0,3.0,4.0,3.0,,,20.0,3.0,6,True,3.0,,,,,,,,,,
43,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,https://github.com/sotayamashita/knowledge,2016-08-08 00:42:35,2018-02-06 16:32:26,2018-02-06 16:32:26,344.0,,1.0,4.0,1.0,1.0,11.0,16.0,2.0,6,False,3.0,CC-BY-SA-4.0,,,,,,,,,
44,seanbreckenridge exobrain,https://exobrain.sean.fish/,['programming'],seanbreckenridge/exobrain,,english,https://github.com/seanbreckenridge/exobrain,2020-06-11 04:33:29,2023-02-23 19:38:23,2023-02-23 19:38:22,502.0,13.0,,4.0,,,1.0,11.0,,6,True,3.0,,,,,,,,,,
45,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,2020-04-18 14:15:35,2023-02-18 07:54:03,2023-02-18 07:53:59,209.0,10.0,2.0,3.0,1.0,,,5.0,2.0,6,True,3.0,,,,,,,,,,
46,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,2021-04-07 14:35:27,2023-03-01 05:27:59,2023-03-01 05:27:54,957.0,51.0,,1.0,,,,4.0,2.0,6,True,3.0,,,,,,,,,,
47,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57.0,,4.0,6.0,2.0,,,50.0,,5,False,3.0,,,,,,,,,,
48,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,https://github.com/eddyerburgh/notes,2019-08-09 06:56:25,2022-03-16 21:09:51,2022-03-16 21:09:48,123.0,,10.0,5.0,4.0,,,49.0,2.0,5,True,3.0,,,,,,,,,,
49,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,https://github.com/wahyd4/knowledge,2017-06-02 09:24:45,2022-07-25 05:38:16,2022-07-25 05:38:16,233.0,,7.0,5.0,,1.0,1.0,45.0,2.0,5,True,3.0,,,,,,,,,,
50,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23.0,,1.0,6.0,,,,13.0,2.0,5,False,3.0,MIT,,,,,,,,,
51,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,https://github.com/flber/mx,2020-09-27 02:34:26,2023-02-28 02:35:20,2022-11-23 00:07:06,501.0,,1.0,1.0,3.0,,,8.0,,5,True,3.0,,,,,,,,flber/mx,,
52,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,2019-12-29 09:35:55,2023-02-21 17:27:06,2023-02-21 17:27:02,317.0,7.0,,1.0,,,,6.0,2.0,5,True,3.0,CC0-1.0,,,,,,,,,
53,Yarden Zamir - an open sourced 🧠,https://www.yarden-zamir.com,"['programming', 'productivity']",Yarden-zamir/me,A take on open sourcing a brain.,english,https://github.com/Yarden-zamir/me,2022-11-21 13:38:48,2023-02-14 12:44:42,2023-02-14 12:44:40,206.0,49.0,,2.0,,1.0,3.0,1.0,,5,True,3.0,,,,,,,,,,
54,Mathias Borgmalm,https://wiki.mathiasborgmalm.dev/,"['arts', 'programming']",MateBoy/knowledge-base,,english,https://github.com/MateBoy/knowledge-base,2019-10-24 11:08:31,2021-07-05 08:11:39,2021-07-05 08:11:30,83.0,,,1.0,,,,,3.0,5,True,3.0,MIT,,,,,,,,,
55,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,2019-01-29 01:07:38,2022-04-12 04:28:03,2022-04-12 04:28:03,748.0,,3.0,2.0,,,,20.0,2.0,4,True,3.0,,,,,,,,,,
56,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,https://github.com/d2s/knowledge,2016-01-21 02:41:09,2020-06-11 21:04:21,2020-06-11 21:03:51,140.0,,3.0,5.0,1.0,1.0,,19.0,2.0,4,True,3.0,,,,,,,,,,
57,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,2020-06-28 14:40:32,2023-02-09 06:20:17,2023-02-09 06:20:14,239.0,2.0,10.0,2.0,5.0,,,19.0,3.0,4,True,3.0,,,,,,,,,,
58,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,https://github.com/azappella/knowledge,2018-06-26 16:04:46,2022-12-09 13:00:25,2022-12-09 13:00:16,118.0,5.0,1.0,3.0,,,,16.0,,4,True,3.0,,,,,,,-1.0,,,
