,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,release_count,trending,github_release_downloads,monthly_downloads
10,Yoshua Wuyts,https://github.com/yoshuawuyts/notes,"['arts', 'programming', 'productivity']",yoshuawuyts/notes,,english,https://github.com/yoshuawuyts/knowledge,,2014-11-15 17:42:36,2022-01-05 12:13:17,2020-10-07 20:53:06,1635.0,,42.0,43.0,17.0,5.0,33.0,846.0,,,13.0,12,False,2.0,yoshuawuyts/knowledge,,,,,,
11,Project Delta - one bit better,https://selimslab.github.io/,"['art', 'science', 'programming', 'philosophy', 'psychology', 'practical skills', 'poetry', 'technology']",selimslab/selimslab.github.io,"A digital space to create, collect, and share.",english,https://github.com/selimslab/selimslab.github.io,MIT,2020-01-01 15:03:33,2025-10-12 20:07:53,2025-10-12 20:07:51,3481.0,52.0,,,,,1.0,11.0,,,33.0,12,True,2.0,,2022-11-09 08:20:55,1.0.0,1.0,,,
12,Nikita Voloboev,https://wiki.nikiv.dev/,"['science', 'programming', 'arts', 'linux', 'activism', 'python', 'health', 'productivity']",nikitavoloboev/knowledge,,english,https://github.com/nikivdev/wiki,,2017-09-21 20:12:21,2025-11-04 15:17:20,2025-11-04 15:17:17,10.0,10.0,541.0,119.0,87.0,,,4853.0,,,,11,True,2.0,nikivdev/wiki,,,,1.0,,
13,Jesse Squires,https://jessesquires.github.io/TIL/,"['programming', 'python', 'activism']",jessesquires/TIL,,english,https://github.com/jessesquires/TIL,MIT,2017-12-22 16:57:51,2025-10-24 19:24:35,2025-10-24 19:24:34,413.0,3.0,8.0,19.0,4.0,,,288.0,,,5.0,11,True,2.0,,,,,,,
14,Richard Littauer,https://github.com/RichardLitt/knowledge,"['science', 'arts', 'python', 'programming']",RichardLitt/knowledge,,english,https://github.com/RichardLitt/knowledge,MIT,2015-10-31 18:29:39,2024-09-30 23:05:57,2024-09-30 23:05:51,295.0,,22.0,18.0,10.0,4.0,15.0,259.0,,,5.0,11,True,2.0,,,,,,,
15,pawamoy's website,https://pawamoy.github.io,"['programming', 'python', 'science']",pawamoy/website/,,english,https://github.com/pawamoy/website,ISC,2020-06-04 21:33:15,2025-10-24 00:06:05,2025-10-23 14:23:40,321.0,17.0,5.0,5.0,6.0,7.0,4.0,57.0,,,,11,True,2.0,,,,,,,
16,Scott Spence,https://scottspence.com/posts,[],spences10/scottspence.com,,english,https://github.com/spences10/scottspence.com,,2021-07-17 15:36:36,2025-11-04 13:43:16,2025-11-04 11:03:12,3568.0,168.0,12.0,1.0,1231.0,1.0,7.0,54.0,,,10.0,10,True,2.0,,,,,,,
17,Gwern Branwen,https://www.gwern.net/,"['science', 'programming', 'arts']",gjord/gwern.net,,english,https://github.com/gjord/gwern.net,,2014-07-03 17:41:01,2023-04-26 13:48:21,2014-07-03 17:50:18,8297.0,,21.0,5.0,,,,37.0,,,5.0,10,False,2.0,,,,,,,
18,Jethro's Braindump,https://braindump.jethro.dev/,"['science', 'linux', 'programming', 'activism']",jethrokuan/braindump,,english,https://github.com/jethrokuan/braindump,,2017-03-02 14:55:34,2022-12-02 08:22:52,2022-12-02 08:22:44,574.0,,84.0,16.0,29.0,4.0,12.0,392.0,,,6.0,9,True,2.0,,,,,,,
19,mistermicheels learning notes,https://learning-notes.mistermicheels.com/about/about/,['programming'],mistermicheels/learning-notes,,english,https://github.com/mistermicheels/learning-notes,CC-BY-4.0,2019-04-13 20:39:28,2025-07-19 13:41:48,2025-07-19 13:40:58,292.0,,48.0,8.0,16.0,,,284.0,,,2.0,9,True,2.0,,,,,,,
