,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,trending
74,Bruno Coimbra,https://wiki.metaphoric.dev/,['linux'],b-coimbra/wiki,,english,https://github.com/b-coimbra/wiki,2017-06-26 23:15:31,2022-06-08 23:01:03,2022-06-08 21:50:53,110.0,,,1.0,,,,3.0,3.0,3,True,3.0,,,,,,,,,
75,Eyal Levin,https://github.com/eyalev/notes,['arts'],eyalev/notes,,english,https://github.com/eyalev/notes,2018-10-04 19:46:56,2020-04-27 09:26:21,2020-04-27 09:26:17,88.0,,,2.0,,,,3.0,,3,True,3.0,,,,,,,,,
76,Harald O. Bakke,https://hwiki.bakke.be/,"['activism', 'arts', 'productivity']",bakke92/hwiki,,english,https://github.com/bakke92/hwiki,2019-04-13 09:28:45,2022-12-10 18:44:12,2022-12-10 18:44:09,280.0,3.0,,2.0,,,,2.0,2.0,3,True,3.0,,,,,,,,,
77,Manassarn Manoonchai,https://wiki.monosor.com/,"['programming', 'productivity', 'arts']",narze/knowledge,,english,https://github.com/narze/knowledge,2019-07-19 04:49:09,2020-11-10 04:50:23,2020-11-10 04:50:17,55.0,,,,,,,,2.0,3,True,3.0,,,,,,,,,
78,Marshall Bowers,https://knowledge.maxdeviant.com/,"['programming', 'linux']",maxdeviant/knowledge,,english,https://github.com/maxdeviant/knowledge,2020-03-21 21:21:49,2021-05-16 18:04:43,2021-05-16 18:04:40,30.0,,,2.0,,,,,,3,True,3.0,,,,,,,,,
79,Brandon Boswell,https://brandonkboswell.com/,"['programming', 'productivity', 'design', 'mindfulness']",brandonkboswell/garden,My Personal Blog and Digital Garden.,english,https://github.com/brandonkboswell/garden,2022-01-20 03:35:26,2023-01-13 21:11:35,2023-01-13 21:11:30,82.0,7.0,,1.0,,,1.0,,,3,True,3.0,,,,,,,,,
80,Nimor's zettelkasten,https://nimor111.github.io/notebook/,[],Nimor111/notebook,,english,https://github.com/Nimor111/notebook,2020-12-03 21:03:34,2021-06-03 20:32:37,2021-06-03 20:31:25,43.0,,1.0,2.0,,,,7.0,2.0,2,True,3.0,,,,,,,,,
81,Nick S. Plekhanov,https://github.com/nicksp/til,['programming'],nicksp/til,,english,https://github.com/nicksp/til,2017-04-23 21:55:40,2017-07-14 21:13:57,2017-07-14 21:13:51,12.0,,,2.0,,,,6.0,,2,False,3.0,,,,,,,,,
82,.CLI,https://wiki.changbai.li/#/,"['programming', 'health']",dotcli/knowledge,,english,https://github.com/dotcli/knowledge,2018-12-09 14:00:32,2022-12-19 19:32:28,2022-12-19 19:32:28,138.0,1.0,,1.0,1.0,,,5.0,2.0,2,True,3.0,,,,,,,,,
83,Mingyang Li,https://tslmy.gitbook.io/k/,"['programming', 'science']",tslmy/know,,english,https://github.com/tslmy/know,2019-03-03 20:52:14,2022-04-28 19:33:33,2022-04-28 19:33:32,104.0,,1.0,2.0,,,,5.0,2.0,2,True,3.0,,,,,,,,,
84,Alper Kanat,https://github.com/tunix/notebook,['linux'],tunix/notebook,,english,https://github.com/tunix/notebook,2020-10-02 09:34:09,2022-11-21 07:04:51,2022-11-21 07:04:48,21.0,2.0,,1.0,,,,3.0,2.0,2,True,3.0,,,,,,,,,-1.0
85,Prasanna Loganathar,https://github.com/prasannavl/knowledge,"['science', 'linux', 'programming']",prasannavl/knowledge,,english,https://github.com/prasannavl/knowledge,2019-05-10 00:53:49,2022-02-28 07:29:34,2022-02-28 07:29:30,90.0,,,2.0,,,,2.0,,2,True,3.0,,,,,,,,,
86,Shreyas Minocha’s Wiki,https://wiki.shreyasminocha.me/index.html,"['science', 'programming', 'python']",shreyasminocha/wiki,,english,https://github.com/shreyasminocha/wiki,2020-05-21 16:08:32,2021-02-21 01:46:20,2021-02-21 01:45:23,50.0,,,1.0,,,,2.0,3.0,2,True,3.0,,,,,,,,,
87,Vegard Stikbakke's TILs,https://til.vegardstikbakke.com/,['programming'],vegarsti/til,,english,https://github.com/vegarsti/til,2021-05-19 10:00:20,2022-12-22 12:50:34,2022-12-22 12:50:32,62.0,1.0,,1.0,,,,2.0,,2,True,3.0,,,,,,,,,
88,Mehmet Kanat,https://github.com/mehmetka/notebook,['programming'],mehmetka/notebook,,english,https://github.com/mehmetka/notebook,2020-09-13 16:06:40,2022-08-13 19:06:03,2022-08-13 19:05:59,119.0,,,1.0,,,,,2.0,1,True,3.0,,,,,,,,,
89,whoibrar notes,https://notes.whoibrar.com/,"['productivity', 'programming', 'python']",,,english,,,,,,,,,,,,,,0,True,,,,,,,,,,
