,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,trending
30,Jake Chvatal,https://wiki.jacob.chvatal.com/,[],jakeisnt/wiki,,english,https://github.com/jakeisnt/wiki,2020-07-06 23:00:29,2023-01-16 06:46:09,2023-01-16 06:46:06,724.0,175.0,2.0,2.0,8.0,1.0,24.0,7.0,4.0,8,True,2.0,,,,,,,,,
31,Brian Turchyn,https://wiki.brianturchyn.net,"['health', 'productivity', 'programming']",b-turchyn/wiki,,english,https://github.com/b-turchyn/wiki,2022-04-11 14:41:41,2023-01-17 13:33:17,2023-01-17 13:33:13,507.0,94.0,,2.0,1.0,,,3.0,2.0,8,True,2.0,CC-BY-SA-4.0,,,,,,,,
32,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,https://github.com/carlosdelfino/carlosdelfino.github.com,2011-02-01 11:59:36,2022-11-22 20:05:36,2022-11-22 20:05:36,1841.0,10.0,,1.0,11.0,,,2.0,20.0,8,True,1.0,MIT,,,,,,,,
33,Karlicoss Exobrain,https://beepb00p.xyz/exobrain/,"['programming', 'arts', 'science', 'health', 'productivity']",karlicoss/exobrain,,english,https://github.com/karlicoss/exobrain,2020-03-07 16:16:24,2021-05-23 07:58:57,2021-05-23 07:58:48,102.0,,6.0,4.0,1.0,1.0,,64.0,,7,True,2.0,CC-BY-4.0,,,,,,,,
34,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,https://github.com/slowernews/notebook,2018-02-10 10:44:54,2023-01-02 08:53:18,2023-01-02 08:53:12,436.0,10.0,1.0,3.0,,,1.0,35.0,,7,True,2.0,,,,,,,,,
35,Omar Bahareth,https://wiki.omar.engineer/,"['programming', 'science']",obahareth/knowledge,,english,https://github.com/obahareth/knowledge,2018-10-01 15:35:49,2022-08-25 10:30:44,2022-08-10 09:10:09,123.0,,2.0,3.0,1.0,,,26.0,,7,True,2.0,MIT,,,,,,,,
36,pawamoy's website,https://pawamoy.github.io,"['programming', 'python', 'science']",pawamoy/website/,,english,https://github.com/pawamoy/website,2020-06-04 21:33:15,2022-09-22 18:15:29,2022-09-22 18:15:24,200.0,,4.0,4.0,2.0,3.0,,23.0,,7,True,2.0,,,,,,,,,
37,Kirill Gorbachyonok,https://github.com/japanese-goblinn/knowledge-base,"['programming', 'productivity']",japanese-goblinn/knowledge-base,,english,https://github.com/japanese-goblinn/knowledge-base,2022-04-22 21:44:57,2023-01-18 17:31:02,2023-01-18 17:31:00,220.0,69.0,2.0,1.0,,,,17.0,,7,True,2.0,,2022-05-17 17:22:03,1.0,1.0,,,,,
38,nkintc,https://nkintc.gitbook.io/brainless/,"['arts', 'science', 'linux']",nkintc/nkintc.github.io,,english,https://github.com/nkintc/nkintc.github.io,2020-04-30 17:33:44,2022-09-22 21:54:10,2022-09-22 21:54:05,365.0,,,,2.0,,,,,7,True,2.0,MIT,,,,,,,,
39,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,https://github.com/josephrexme/knowledge,2017-03-18 09:01:42,2021-10-29 15:05:30,2021-10-29 15:05:27,85.0,,1.0,4.0,,,1.0,29.0,,6,True,3.0,MIT,,,,,,,,
40,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,2016-02-17 01:44:04,2023-01-16 05:47:27,2023-01-16 05:47:22,246.0,2.0,3.0,4.0,3.0,,,20.0,3.0,6,True,3.0,,,,,,,,,
41,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,https://github.com/sotayamashita/knowledge,2016-08-08 00:42:35,2018-02-06 16:32:26,2018-02-06 16:32:26,344.0,,1.0,4.0,1.0,1.0,11.0,16.0,2.0,6,False,3.0,CC-BY-SA-4.0,,,,,,,,
42,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,https://github.com/azappella/knowledge,2018-06-26 16:04:46,2022-12-09 13:00:25,2022-12-09 13:00:16,118.0,11.0,1.0,3.0,,,,15.0,,6,True,3.0,,,,,,,,,
43,seanbreckenridge exobrain,https://exobrain.sean.fish/,['programming'],seanbreckenridge/exobrain,,english,https://github.com/seanbreckenridge/exobrain,2020-06-11 04:33:29,2022-12-13 06:22:08,2022-12-13 06:22:07,497.0,18.0,,4.0,,,1.0,11.0,,6,True,3.0,,,,,,,,,
44,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,2019-12-29 09:35:55,2023-01-08 05:48:46,2023-01-08 05:48:42,313.0,10.0,,1.0,,,,6.0,2.0,6,True,3.0,CC0-1.0,,,,,,,,
45,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,2021-04-07 14:35:27,2023-01-18 05:26:44,2023-01-18 05:26:37,930.0,50.0,,1.0,,,,5.0,2.0,6,True,3.0,,,,,,,,,
46,Walter Teng,https://walterteng.com/garden,"['programming', 'productivity', 'arts']",davzoku/personal-website-v1,,english,https://github.com/davzoku/personal-website-v1,2021-06-15 15:25:18,2023-01-13 13:01:27,2023-01-13 13:01:20,173.0,5.0,,2.0,66.0,,,5.0,2.0,6,True,3.0,MIT,,,,,,,,
47,Yarden Zamir - an open sourced 🧠,https://www.yarden-zamir.com,"['programming', 'productivity']",Yarden-zamir/me,A take on open sourcing a brain.,english,https://github.com/Yarden-zamir/me,2022-11-21 13:38:48,2023-01-12 09:38:45,2023-01-12 09:38:43,197.0,197.0,,1.0,,1.0,3.0,2.0,,6,True,3.0,,,,,,,,,
48,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57.0,,4.0,6.0,2.0,,,50.0,,5,False,3.0,,,,,,,,,
