,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,release_count,trending,github_release_downloads,monthly_downloads
0,Oscean,https://wiki.xxiivv.com/site/home.html,[],XXIIVV/Oscean,,english,https://github.com/XXIIVV/oscean,MIT,2017-11-22 18:58:35,2023-09-28 16:27:23,2023-09-28 16:27:19,4798.0,188.0,78.0,11.0,69.0,13.0,40.0,445.0,6.0,6.0,41.0,18,True,1.0,,,,,,,
1,Nikita Voloboev,https://wiki.nikiv.dev/,"['science', 'programming', 'arts', 'linux', 'activism', 'python', 'health', 'productivity']",nikitavoloboev/knowledge,,english,https://github.com/nikitavoloboev/knowledge,,2017-09-21 20:12:21,2023-09-26 16:23:08,2023-06-01 14:14:36,13475.0,,510.0,123.0,82.0,12.0,30.0,4625.0,,,45.0,17,True,1.0,,,,,,,
2,Simon Willison,https://til.simonwillison.net/,"['programming', 'linux', 'python']",simonw/til,,english,https://github.com/simonw/til,Apache-2.0,2020-04-19 14:35:59,2023-09-28 13:23:25,2023-09-28 13:23:25,1741.0,182.0,80.0,31.0,20.0,13.0,50.0,816.0,,,12.0,17,True,1.0,,,,,,,
3,100 Rabbits,https://100r.co/site/home.html,"['programming', 'arts']",hundredrabbits/100r.co,,english,https://github.com/hundredrabbits/100r.co,MIT,2017-11-25 02:23:26,2023-09-15 00:32:26,2023-09-15 00:34:25,2238.0,69.0,52.0,11.0,45.0,6.0,38.0,274.0,,,30.0,17,True,1.0,,,,,,,
4,swyx.io ideas,https://www.swyx.io/ideas/?show=Essays,[],sw-yx/swyxdotio,,english,https://github.com/swyxio/swyxdotio,MIT,2017-10-22 06:35:18,2023-09-26 17:55:01,2023-09-26 17:55:00,820.0,15.0,41.0,14.0,40.0,23.0,415.0,290.0,,,31.0,16,True,1.0,swyxio/swyxdotio,,,,,,
5,Giant Robots Smashing Into Other Giant Robots,https://thoughtbot.com/blog,"['linux', 'programming', 'python']",thoughtbot/til,,english,https://github.com/thoughtbot/til,,2015-01-16 22:21:28,2021-09-24 16:04:04,2015-04-03 20:42:00,60.0,,223.0,425.0,96.0,,,3903.0,,,34.0,13,False,1.0,,,,,,,
6,The Blue Book,https://lyz-code.github.io/blue-book,"['activism', 'antifascism', 'productivity', 'health', 'programming', 'python', 'linux', 'arts', 'science', 'feminism']",lyz-code/blue-book,,english,https://github.com/lyz-code/blue-book,CC0-1.0,2020-02-06 01:24:08,2023-09-28 06:43:27,2023-09-26 06:36:43,1350.0,40.0,74.0,17.0,24.0,,7.0,585.0,,,13.0,13,True,1.0,,,,,,,
7,PuiMan Cheui,https://wiki.aleen42.com/,"['programming', 'linux']",aleen42/PersonalWiki,,english,https://github.com/aleen42/PersonalWiki,MIT,2015-05-13 14:26:08,2023-08-02 15:26:24,2023-08-02 15:24:16,19438.0,2.0,49.0,19.0,2.0,28.0,7.0,331.0,,,3.0,13,True,1.0,,,,,,,
8,Jesse Squires,https://jessesquires.github.io/TIL/,"['programming', 'python', 'activism']",jessesquires/TIL,,english,https://github.com/jessesquires/TIL,MIT,2017-12-22 16:57:51,2023-09-22 23:28:21,2023-09-22 23:28:21,353.0,13.0,8.0,21.0,4.0,,,275.0,,,5.0,13,True,1.0,,,,,,,
9,Yoshua Wuyts,https://github.com/yoshuawuyts/notes,"['arts', 'programming', 'productivity']",yoshuawuyts/notes,,english,https://github.com/yoshuawuyts/notes,,2014-11-15 17:42:36,2022-01-05 12:13:17,2020-10-07 20:53:06,1635.0,,44.0,48.0,17.0,5.0,33.0,839.0,,,13.0,12,True,2.0,,,,,,,
