,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads
16,Michael Lubinsky,https://mlubinsky.github.io/,"['programming', 'python', 'linux']",mlubinsky/mlubinsky.github.com,,english,https://github.com/mlubinsky/mlubinsky.github.com,2011-07-14 23:56:22,2022-12-17 04:29:33,2022-12-17 04:29:33,9021.0,78.0,3.0,2.0,,1.0,,9.0,8.0,10,True,2.0,,,,,,,,
17,Pensieve,https://paveloom.github.io/pensieve,"['programming', 'linux', 'science']",paveloom/paveloom.github.io,,english,https://github.com/paveloom/paveloom.github.io,2020-02-01 14:29:58,2022-12-20 11:00:19,2022-12-20 10:59:14,546.0,280.0,,1.0,60.0,,10.0,,4.0,10,True,2.0,MIT,,,,,,,
18,Jethro's Braindump,https://braindump.jethro.dev/,"['science', 'linux', 'programming', 'activism']",jethrokuan/braindump,,english,https://github.com/jethrokuan/braindump,2017-03-02 14:55:34,2022-12-02 08:22:52,2022-12-02 08:22:44,574.0,1.0,86.0,19.0,29.0,4.0,10.0,324.0,6.0,9,True,2.0,,,,,,,,
19,mistermicheels learning notes,https://learning-notes.mistermicheels.com/about/about/,['programming'],mistermicheels/learning-notes,,english,https://github.com/mistermicheels/learning-notes,2019-04-13 20:39:28,2022-11-27 17:45:33,2022-10-06 15:57:50,283.0,2.0,38.0,7.0,16.0,,,198.0,2.0,9,True,2.0,CC-BY-4.0,,,,,,,
20,Maggie Appelton,https://maggieappleton.com/garden,"['programming', 'science', 'arts']",MaggieAppleton/maggieappleton.com-V2,,english,https://github.com/MaggieAppleton/maggieappleton.com-V2,2021-09-24 09:01:12,2022-12-18 23:43:12,2022-12-18 23:43:07,702.0,99.0,17.0,2.0,17.0,2.0,,136.0,4.0,9,True,2.0,,,,,,,,
21,enkiv2,https://www.lord-enki.net/,"['arts', 'science']",enkiv2/misc,,english,https://github.com/enkiv2/misc,2016-05-13 19:55:51,2022-12-01 16:44:54,2022-12-01 16:44:46,1019.0,48.0,4.0,8.0,1.0,1.0,2.0,63.0,,9,True,2.0,,,,,,,,
22,Bhupesh Varshney,https://til.bhupesh.me/,"['programming', 'linux', 'python']",Bhupesh-V/til,,english,https://github.com/Bhupesh-V/til,2019-06-18 06:09:22,2022-12-14 06:32:00,2022-12-14 06:31:55,325.0,8.0,11.0,2.0,2.0,,26.0,51.0,,9,True,2.0,CC0-1.0,,,,,,,
23,Paul Copplestone,https://paul.copplest.one/knowledge/,"['arts', 'science', 'programming']",kiwicopple/paul.copplest.one,,english,https://github.com/kiwicopple/paul.copplest.one,2019-04-06 11:12:55,2022-12-10 17:09:23,2022-11-27 13:13:15,283.0,14.0,15.0,3.0,48.0,,,32.0,9.0,9,True,2.0,,,,,,,,
24,Gwern Branwen,https://www.gwern.net/,"['science', 'programming', 'arts']",gjord/gwern.net,,english,https://github.com/gjord/gwern.net,2014-07-03 17:41:01,2014-07-03 17:50:19,2014-07-03 17:50:18,8297.0,,20.0,4.0,,,,24.0,5.0,9,False,2.0,,,,,,,,
25,Jake Chvatal,https://wiki.jacob.chvatal.com/,[],jakeisnt/wiki,,english,https://github.com/jakeisnt/wiki,2020-07-06 23:00:29,2022-12-20 06:43:25,2022-12-20 06:43:22,714.0,192.0,2.0,2.0,8.0,1.0,24.0,6.0,4.0,9,True,2.0,,,,,,,,
