,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
10,PuiMan Cheui,https://wiki.aleen42.com/,"['programming', 'linux']",aleen42/PersonalWiki,,english,https://github.com/aleen42/PersonalWiki,2015-05-13 14:26:08,2022-02-26 16:00:07,2022-02-26 15:57:40,19423.0,,48.0,19.0,2.0,28.0,7.0,321.0,3.0,11,True,2.0,,,,,,
11,Richard Littauer,https://github.com/RichardLitt/knowledge,"['science', 'arts', 'python', 'programming']",RichardLitt/knowledge,,english,https://github.com/RichardLitt/knowledge,2015-10-31 18:29:39,2022-06-06 01:01:52,2022-06-06 01:01:50,264.0,6.0,16.0,17.0,10.0,4.0,15.0,199.0,5.0,11,True,2.0,MIT,,,,,
12,mistermicheels learning notes,https://learning-notes.mistermicheels.com/about/about/,['programming'],mistermicheels/learning-notes,,english,https://github.com/mistermicheels/learning-notes,2019-04-13 20:39:28,2022-06-11 16:14:40,2022-06-11 16:14:31,273.0,19.0,34.0,7.0,15.0,,,170.0,2.0,11,True,2.0,CC-BY-4.0,,,,,
13,Michael Lubinsky,https://mlubinsky.github.io/,"['programming', 'python', 'linux']",mlubinsky/mlubinsky.github.com,,english,https://github.com/mlubinsky/mlubinsky.github.com,2011-07-14 23:56:22,2022-06-21 14:54:32,2022-06-21 14:54:32,8608.0,255.0,3.0,1.0,,1.0,,8.0,8.0,11,True,2.0,,,,,,
14,Keyvan Akbary,https://keyvanakbary.github.io/learning-notes/,[],keyvanakbary/learning-notes,,english,https://github.com/keyvanakbary/learning-notes,2017-01-30 20:52:21,2022-01-15 16:59:46,2022-01-15 16:58:33,108.0,,548.0,115.0,17.0,1.0,1.0,2226.0,3.0,10,True,2.0,,,,,,
15,Jethro's Braindump,https://braindump.jethro.dev/,"['science', 'linux', 'programming', 'activism']",jethrokuan/braindump,,english,https://github.com/jethrokuan/braindump,2017-03-02 14:55:34,2022-05-11 20:56:29,2022-05-11 20:56:24,573.0,3.0,86.0,18.0,28.0,4.0,9.0,298.0,6.0,10,True,2.0,,,,,,
16,Bhupesh Varshney,https://til.bhupesh.me/,"['programming', 'linux', 'python']",Bhupesh-V/til,,english,https://github.com/Bhupesh-V/til,2019-06-18 06:09:22,2022-06-10 14:01:26,2022-06-10 14:01:24,294.0,10.0,8.0,1.0,2.0,1.0,24.0,41.0,,10,True,2.0,CC0-1.0,,,,,
17,Maggie Appelton,https://maggieappleton.com/garden,"['programming', 'science', 'arts']",MaggieAppleton/maggieappleton.com-V2,,english,https://github.com/MaggieAppleton/maggieappleton.com-V2,2021-09-24 09:01:12,2022-06-15 16:19:51,2022-06-15 16:19:46,498.0,66.0,13.0,1.0,10.0,,,76.0,3.0,9,True,2.0,,,,,,
18,enkiv2,https://www.lord-enki.net/,"['arts', 'science']",enkiv2/misc,,english,https://github.com/enkiv2/misc,2016-05-13 19:55:51,2022-05-13 17:05:16,2022-05-13 17:04:37,812.0,51.0,4.0,8.0,1.0,1.0,2.0,61.0,,9,True,2.0,,,,,,
19,Wayanjimmy Notebook,https://notebook.wayanjimmy.xyz/,"['arts', 'programming', 'science', 'productivity']",wayanjimmy/notebook,,english,https://github.com/wayanjimmy/notebook,2019-07-04 11:37:40,2022-06-03 22:48:27,2020-10-10 03:49:33,489.0,,6.0,1.0,2.0,3.0,,26.0,3.0,9,True,2.0,MIT,,,,,
