,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
40,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,https://github.com/flber/Mineral-Existence,2020-09-27 02:34:26,2022-05-22 21:52:54,2022-05-22 21:52:54,481,31.0,,1.0,,,,6.0,,6,True,3,,,,,,,
41,Jake Chvatal,https://wiki.jacob.chvatal.com/,[],jakeisnt/wiki,,english,https://github.com/jakeisnt/wiki,2020-07-06 23:00:29,2022-04-22 04:41:57,2022-04-22 04:41:56,522,3.0,1.0,1.0,8.0,2.0,23.0,4.0,4.0,6,True,3,,,,,,,
42,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,https://github.com/carlosdelfino/carlosdelfino.github.com,2011-02-01 11:59:36,2022-04-15 13:41:04,2022-04-15 13:40:46,1831,2.0,,1.0,11.0,,,1.0,20.0,6,True,1,MIT,,,,,,
43,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57,,4.0,6.0,2.0,,,49.0,,5,False,3,,,,,,,
44,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,2020-06-28 14:40:32,2022-01-26 03:44:03,2022-01-26 03:44:00,202,,7.0,3.0,3.0,,,17.0,3.0,5,True,3,,,,,,,
45,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23,,1.0,5.0,,,,13.0,2.0,5,False,3,MIT,,,,,,
46,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,2019-12-29 09:35:55,2022-05-25 07:18:08,2022-05-25 07:18:02,284,8.0,,1.0,,,,4.0,2.0,5,True,3,CC0-1.0,,,,,,
47,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,2020-04-18 14:15:35,2022-05-28 10:07:02,2022-05-28 10:06:56,190,11.0,2.0,2.0,1.0,,,3.0,2.0,5,True,3,,,,,,,
48,Things Learned,https://sunflowerno0b.github.io/ATW/,"['programming', 'linux']",sunflowerno0b/ATW,,english,https://github.com/sunflowerno0b/ATW,2020-10-19 22:55:09,2022-04-09 16:38:35,2022-04-09 16:37:38,73,7.0,,,,,,2.0,7.0,5,True,3,GPL-3.0,,,,,,
49,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,2021-04-07 14:35:27,2022-05-30 05:38:15,2022-05-29 05:32:35,762,147.0,,1.0,,,,1.0,2.0,5,True,3,,,,,,,
50,Mathias Borgmalm,https://wiki.mathiasborgmalm.dev/,"['arts', 'programming']",MateBoy/knowledge-base,,english,https://github.com/MateBoy/knowledge-base,2019-10-24 11:08:31,2021-07-05 08:11:39,2021-07-05 08:11:30,83,,,1.0,,,,,3.0,5,True,3,MIT,,,,,,
51,Mehmet Kanat,https://github.com/mehmetka/notebook,['programming'],mehmetka/notebook,,english,https://github.com/mehmetka/notebook,2020-09-13 16:06:40,2022-05-14 10:58:41,2022-05-14 10:58:36,108,64.0,,1.0,,,,,,5,True,3,,,,,,,
52,Rebeca Sarai,https://rsarai.github.io/,[],rsarai/rsarai.github.io,,english,https://github.com/rsarai/rsarai.github.io,2020-02-07 01:46:20,2022-05-29 18:12:59,2022-05-29 18:12:53,98,17.0,,2.0,10.0,,,,2.0,5,True,3,MIT,,,,,,
53,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,2019-01-29 01:07:38,2022-04-12 04:28:03,2022-04-12 04:28:03,748,2.0,3.0,2.0,,,,18.0,2.0,4,True,3,,,,,,,
54,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,https://github.com/rknightuk/intersect,2021-08-23 20:20:08,2022-05-26 11:53:26,2022-05-26 11:53:20,102,9.0,,1.0,,,,14.0,,4,True,3,,,,,,,
55,The Refined Mind,https://refinedmind.co/digital-garden,[],MikeTannenbaum/my-public-mind,,english,https://github.com/MikeTannenbaum/my-public-mind,2020-05-29 16:00:06,2022-05-09 13:13:29,2022-05-09 13:13:28,180,1.0,1.0,,1.0,,,9.0,2.0,4,True,3,,,,,,,
56,Alex Pliutau,https://github.com/plutov/notebook,['programming'],plutov/notebook,,english,https://github.com/plutov/notebook,2018-08-20 02:42:32,2021-03-06 09:16:55,2021-03-06 09:16:55,70,,6.0,4.0,1.0,,,8.0,2.0,4,True,3,,,,,,,
57,Kamil Ronewicz,https://github.com/galileo/knowledge,['programming'],galileo/knowledge,,english,https://github.com/galileo/knowledge,2017-05-03 07:48:33,2022-02-08 11:35:24,2022-02-08 11:35:23,39,,1.0,3.0,1.0,,1.0,8.0,,4,True,3,MIT,,,,,,
58,Piotr Stojanow,https://wiki.stojanow.com/,"['science', 'arts', 'activism', 'productivity']",psto/episteme,,english,https://github.com/psto/episteme,2019-01-31 17:47:00,2021-11-19 11:43:03,2021-11-19 11:42:38,186,,,3.0,,,,6.0,2.0,4,True,3,,,,,,,
59,Bruno Coimbra,https://wiki.metaphoric.dev/,['linux'],b-coimbra/wiki,,english,https://github.com/b-coimbra/wiki,2017-06-26 23:15:31,2022-04-11 14:04:00,2022-04-11 14:04:01,108,4.0,,1.0,,,,3.0,3.0,4,True,3,,,,,,,
60,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,2019-03-24 01:09:02,2022-05-09 02:50:47,2022-05-09 02:50:27,426,8.0,,3.0,6.0,,,2.0,3.0,4,True,3,,,,,,,
61,Harald O. Bakke,https://hwiki.bakke.be/,"['activism', 'arts', 'productivity']",bakke92/hwiki,,english,https://github.com/bakke92/hwiki,2019-04-13 09:28:45,2022-05-21 18:37:37,2022-05-21 18:37:34,262,10.0,,2.0,,,,1.0,2.0,4,True,3,,,,,,,
62,Believer,https://devlog.willcodefor.beer/,['programming'],believer/devlog,,english,https://github.com/believer/devlog,2021-06-13 07:49:07,2022-04-23 04:28:06,2022-04-23 04:28:06,142,1.0,1.0,2.0,,,,22.0,2.0,3,True,3,,,,,,,
63,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,https://github.com/d2s/knowledge,2016-01-21 02:41:09,2020-06-11 21:04:21,2020-06-11 21:03:51,140,,2.0,5.0,1.0,1.0,,20.0,2.0,3,True,3,,,,,,,
64,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,https://github.com/azappella/knowledge,2018-06-26 16:04:46,2022-05-09 13:21:33,2022-05-09 12:59:38,103,2.0,1.0,2.0,,,,15.0,,3,True,3,,,,,,,
65,David Seah,https://davidseah.gitbook.io/davidseah/,"['productivity', 'programming']",davidseah/knowledgebank,,english,https://github.com/davidseah/knowledgebank,2019-10-24 01:09:09,2021-09-02 01:33:58,2021-09-02 01:33:56,208,,,1.0,,,,6.0,,3,True,3,,,,,,,
66,Oleh Kuchuk,https://github.com/hzlmn/week-learning,"['python', 'programming']",hzlmn/week-learning,,english,https://github.com/hzlmn/week-learning,2017-03-26 10:04:54,2019-08-18 21:28:23,2019-08-18 21:28:22,47,,,3.0,,,,4.0,2.0,3,True,3,,,,,,,
67,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,https://github.com/nbelzer/notes,2020-04-25 18:21:31,2022-03-26 14:23:47,2021-05-13 11:53:48,70,,,2.0,9.0,1.0,,4.0,2.0,3,True,3,,,,,,,
68,.CLI,https://wiki.changbai.li/#/,"['programming', 'health']",dotcli/knowledge,,english,https://github.com/dotcli/knowledge,2018-12-09 14:00:32,2022-04-24 08:33:24,2022-04-24 08:32:38,137,4.0,,1.0,1.0,,,3.0,2.0,3,True,3,,,,,,,
69,Eyal Levin,https://github.com/eyalev/notes,['arts'],eyalev/notes,,english,https://github.com/eyalev/notes,2018-10-04 19:46:56,2020-04-27 09:26:21,2020-04-27 09:26:17,88,,,2.0,,,,3.0,,3,True,3,,,,,,,
70,Myles Braithwaite,https://wiki.mylesb.ca/,"['programming', 'arts', 'linux', 'productivity']",myles/wiki,,english,https://github.com/myles/wiki,2017-10-30 00:35:00,2022-05-16 01:15:49,2020-06-21 18:19:00,424,,,2.0,123.0,1.0,1.0,2.0,4.0,3,True,3,CC0-1.0,,2019-01-14 15:42:02,2018,1.0,12.0,0.0
71,Stephen McAleese,https://directory.stephenmcaleese.com/,"['science', 'productivity']",smcaleese/directory,,english,https://github.com/smcaleese/directory,2019-02-13 20:50:10,2022-02-26 10:04:41,2021-02-14 21:42:32,47,,,,30.0,,,1.0,,3,True,3,,,,,,,
72,Manassarn Manoonchai,https://wiki.monosor.com/,"['programming', 'productivity', 'arts']",narze/knowledge,,english,https://github.com/narze/knowledge,2019-07-19 04:49:09,2020-11-10 04:50:23,2020-11-10 04:50:17,55,,,,,,,,2.0,3,True,3,,,,,,,
73,Marshall Bowers,https://knowledge.maxdeviant.com/,"['programming', 'linux']",maxdeviant/knowledge,,english,https://github.com/maxdeviant/knowledge,2020-03-21 21:21:49,2021-05-16 18:04:43,2021-05-16 18:04:40,30,,,1.0,,,,,,3,True,3,,,,,,,
74,Nimor's zettelkasten,https://nimor111.github.io/notebook/,[],Nimor111/notebook,,english,https://github.com/Nimor111/notebook,2020-12-03 21:03:34,2021-06-03 20:32:37,2021-06-03 20:31:25,43,,1.0,2.0,,,,7.0,2.0,2,True,3,,,,,,,
75,Nick S. Plekhanov,https://github.com/nicksp/til,['programming'],nicksp/til,,english,https://github.com/nicksp/til,2017-04-23 21:55:40,2017-07-14 21:13:57,2017-07-14 21:13:51,12,,,2.0,,,,6.0,,2,False,3,,,,,,,
76,Mingyang Li,https://tslmy.gitbook.io/k/,"['programming', 'science']",tslmy/know,,english,https://github.com/tslmy/know,2019-03-03 20:52:14,2022-04-28 19:33:33,2022-04-28 19:33:32,104,1.0,1.0,2.0,,,,5.0,2.0,2,True,3,,,,,,,
77,Josh Pierro,https://github.com/joshpierro/knowledge,"['programming', 'linux', 'arts']",joshpierro/knowledge,,english,https://github.com/joshpierro/knowledge,2017-03-09 18:24:08,2019-04-30 15:55:55,2019-04-30 15:55:54,14,,,2.0,,,,4.0,,2,True,3,,,,,,,
78,Prasanna Loganathar,https://github.com/prasannavl/knowledge,"['science', 'linux', 'programming']",prasannavl/knowledge,,english,https://github.com/prasannavl/knowledge,2019-05-10 00:53:49,2022-02-28 07:29:34,2022-02-28 07:29:30,90,,,1.0,,,,2.0,,2,True,3,,,,,,,
79,Shreyas Minocha’s Wiki,https://wiki.shreyasminocha.me/index.html,"['science', 'programming', 'python']",shreyasminocha/wiki,,english,https://github.com/shreyasminocha/wiki,2020-05-21 16:08:32,2021-02-21 01:46:20,2021-02-21 01:45:23,50,,,1.0,,,,2.0,3.0,2,True,3,,,,,,,
80,Vegard Stikbakke's TILs,https://til.vegardstikbakke.com/,['programming'],vegarsti/til,,english,https://github.com/vegarsti/til,2021-05-19 10:00:20,2022-05-24 10:59:32,2022-05-24 10:59:18,52,1.0,,1.0,,,,2.0,,2,True,3,,,,,,,
81,Alper Kanat,https://github.com/tunix/notebook,['linux'],tunix/notebook,,english,https://github.com/tunix/notebook,2020-10-02 09:34:09,2022-05-19 16:06:32,2022-05-19 16:06:17,17,4.0,,1.0,,,,2.0,2.0,1,True,3,,,,,,,
