,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,release_count,trending,github_release_downloads,monthly_downloads
0,Oscean,https://wiki.xxiivv.com/site/home.html,[],XXIIVV/Oscean,,english,https://github.com/XXIIVV/oscean,MIT,2017-11-22 18:58:35,2024-10-13 17:17:36,2024-10-13 17:19:25,5661.0,219.0,81.0,12.0,76.0,14.0,42.0,488.0,7.0,7.0,44.0,19,True,1.0,,,,,,,
1,Simon Willison,https://til.simonwillison.net/,"['programming', 'linux', 'python']",simonw/til,,english,https://github.com/simonw/til,Apache-2.0,2020-04-19 14:35:59,2024-10-10 05:32:47,2024-10-10 05:32:47,2004.0,51.0,85.0,40.0,22.0,18.0,53.0,1082.0,,,16.0,17,True,1.0,,,,,,,
2,100 Rabbits,https://100r.co/site/home.html,"['programming', 'arts']",hundredrabbits/100r.co,,english,https://github.com/hundredrabbits/100r.co,MIT,2017-11-25 02:23:26,2024-10-13 17:20:27,2024-10-13 17:20:23,2715.0,98.0,54.0,11.0,55.0,6.0,41.0,335.0,,,33.0,17,True,1.0,,,,,,,
3,swyx.io ideas,https://www.swyx.io/ideas/?show=Essays,[],sw-yx/swyxdotio,,english,https://github.com/swyxio/swyxdotio,MIT,2017-10-22 06:35:18,2024-10-10 21:02:07,2024-10-10 21:02:07,859.0,3.0,44.0,15.0,40.0,27.0,431.0,337.0,,,31.0,15,True,1.0,swyxio/swyxdotio,,,,,,
4,Xinyang YU - 🥷🏻🌳🍃 Computer Science & Thinkering Garden,https://notes.yxy.ninja,"['programming', 'science', 'productivity', 'linux']",xy-241/CS-Notes,,english,https://github.com/xy-241/CS-Notes,MIT,2023-12-02 11:54:11,2024-10-04 10:28:06,2024-10-04 10:28:03,2298.0,214.0,4.0,2.0,34.0,,,39.0,,,178.0,15,True,1.0,,,,,,,
5,The Blue Book,https://lyz-code.github.io/blue-book,"['activism', 'antifascism', 'productivity', 'health', 'programming', 'python', 'linux', 'arts', 'science', 'feminism']",lyz-code/blue-book,,english,https://github.com/lyz-code/blue-book,CC0-1.0,2020-02-06 01:24:08,2024-10-13 06:47:52,2024-10-11 06:43:25,1497.0,35.0,91.0,21.0,28.0,,9.0,816.0,,,17.0,14,True,1.0,,,,,,,
6,Giant Robots Smashing Into Other Giant Robots,https://thoughtbot.com/blog,"['linux', 'programming', 'python']",thoughtbot/til,,english,https://github.com/thoughtbot/til,,2015-01-16 22:21:28,2024-07-19 22:16:50,2015-04-03 20:42:00,60.0,,224.0,405.0,97.0,,,3934.0,,,34.0,13,False,1.0,,,,,,,
7,PuiMan Cheui,https://wiki.aleen42.com/,"['programming', 'linux']",aleen42/PersonalWiki,,english,https://github.com/aleen42/PersonalWiki,MIT,2015-05-13 14:26:08,2024-04-08 01:50:13,2024-04-08 01:48:46,19441.0,,52.0,20.0,3.0,28.0,7.0,347.0,,,4.0,13,True,1.0,,,,,,,
8,Keyvan Akbary,https://keyvanakbary.github.io/learning-notes/,[],keyvanakbary/learning-notes,,english,https://github.com/keyvanakbary/learning-notes,,2017-01-30 20:52:21,2024-01-02 03:50:55,2022-01-15 16:58:33,108.0,,1157.0,207.0,23.0,2.0,2.0,5391.0,,,3.0,12,True,1.0,,,,,,,
9,Yoshua Wuyts,https://github.com/yoshuawuyts/notes,"['arts', 'programming', 'productivity']",yoshuawuyts/notes,,english,https://github.com/yoshuawuyts/knowledge,,2014-11-15 17:42:36,2022-01-05 12:13:17,2020-10-07 20:53:06,1635.0,,44.0,47.0,17.0,5.0,33.0,846.0,,,13.0,12,True,1.0,yoshuawuyts/knowledge,,,,,,
10,David Gasquez,https://publish.obsidian.md/davidgasquez/README,"['programming', 'health', 'linux', 'productivity', 'arts', 'science']",davidgasquez/handbook,,english,https://github.com/davidgasquez/handbook,MIT,2018-07-25 10:13:02,2024-10-11 17:34:31,2024-10-11 17:28:01,1330.0,33.0,18.0,9.0,6.0,1.0,1.0,152.0,,,4.0,12,True,1.0,,,,,,,
11,Project Delta - one bit better,https://selimslab.github.io/,"['art', 'science', 'programming', 'philosophy', 'psychology', 'practical skills', 'poetry', 'technology']",selimslab/selimslab.github.io,"A digital space to create, collect, and share.",english,https://github.com/selimslab/selimslab.github.io,MIT,2020-01-01 15:03:33,2024-09-11 16:09:25,2024-09-11 16:09:17,2672.0,509.0,,1.0,,,1.0,12.0,,,32.0,12,True,1.0,,2022-11-09 08:20:55,1.0.0,1.0,,,
12,Kyle King recipes,https://recipes.kyleking.me/,['arts'],KyleKing/recipes,,english,https://github.com/KyleKing/recipes,MIT,2017-09-13 00:21:11,2024-09-11 02:15:28,2024-09-11 02:14:00,611.0,25.0,,3.0,17.0,,10.0,5.0,108.0,108.0,2.0,12,True,1.0,,2022-10-21 03:05:20,0.4.0,1.0,,,
13,Jesse Squires,https://jessesquires.github.io/TIL/,"['programming', 'python', 'activism']",jessesquires/TIL,,english,https://github.com/jessesquires/TIL,MIT,2017-12-22 16:57:51,2024-09-25 17:42:19,2024-09-25 17:42:18,402.0,2.0,8.0,21.0,4.0,,,282.0,,,5.0,11,True,2.0,,,,,,,
14,Scott Spence,https://scottspence.com/posts,[],spences10/scottspence.com,,english,https://github.com/spences10/scottspence.com,,2021-07-17 15:36:36,2024-10-13 15:50:01,2024-10-13 15:48:54,2942.0,126.0,10.0,3.0,941.0,1.0,3.0,47.0,,,10.0,11,True,2.0,,,,,,,
15,Nikita Voloboev,https://wiki.nikiv.dev/,"['science', 'programming', 'arts', 'linux', 'activism', 'python', 'health', 'productivity']",nikitavoloboev/knowledge,,english,https://github.com/nikitavoloboev/data,,2017-09-21 20:12:21,2024-09-22 17:47:25,2024-09-22 17:47:12,1.0,1.0,548.0,120.0,87.0,1.0,44.0,4844.0,,,,10,True,2.0,nikitavoloboev/data,,,,,,
