,name,homepage,labels,github_id,description,category,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
42,Wayanjimmy Notebook,https://notebook.wayanjimmy.xyz/,"['arts', 'programming', 'science', 'productivity']",wayanjimmy/notebook,,english,,,3.0,0,True,,
43,Maggie Appelton,https://maggieappleton.com/garden,"['programming', 'science', 'arts']",MaggieAppleton/maggieappleton.com-V2,,english,,,6.0,0,True,,
44,Scott Spence,https://scottspence.com/posts,[],spences10/scottspence.com,,english,,,11.0,0,True,,
45,Maxime Vaillancourt,https://maximevaillancourt.com/notes,[],maximevaillancourt/maximevaillancourt.com,,english,,,,0,True,,
46,Gwern Branwen,https://www.gwern.net/,"['science', 'programming', 'arts']",gjord/gwern.net,,english,,,5.0,0,True,,
47,Paul Copplestone,https://paul.copplest.one/knowledge/,"['arts', 'science', 'programming']",kiwicopple/paul.copplest.one,,english,,,12.0,0,True,,
48,Jethro's Braindump,https://braindump.jethro.dev/,"['science', 'linux', 'programming', 'activism']",jethrokuan/braindump,,english,,,6.0,0,True,,
49,Lee Byron,https://leebyron.com/til/,"['programming', 'linux']",leebyron/til,,english,,,,0,True,,
50,Shreyas Minocha’s Wiki,https://wiki.shreyasminocha.me/index.html,"['science', 'programming', 'python']",shreyasminocha/wiki,,english,,,3.0,0,True,,
51,Michael Lubinsky,https://mlubinsky.github.io/,"['programming', 'python', 'linux']",mlubinsky/mlubinsky.github.com,,english,,,8.0,0,True,,
52,nkintc,https://nkintc.gitbook.io/brainless/,"['arts', 'science', 'linux']",nkintc/nkintc.github.io,,english,,,,0,True,,
53,Jesse Squires,https://jessesquires.github.io/TIL/,"['programming', 'python', 'activism']",jessesquires/TIL,,english,,,5.0,0,True,,
54,The Refined Mind,https://refinedmind.co/digital-garden,[],MikeTannenbaum/my-public-mind,,english,,,4.0,0,True,,
55,David Seah,https://davidseah.gitbook.io/davidseah/,"['productivity', 'programming']",davidseah/knowledgebank,,english,,,,0,True,,
56,enkiv2,https://www.lord-enki.net/,"['arts', 'science']",enkiv2/misc,,english,,,,0,True,,
57,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,,,,0,True,,
58,Jake Chvatal,https://wiki.jacob.chvatal.com/,[],jakeisnt/wiki,,english,,,,0,True,,
59,Simon Willison,https://til.simonwillison.net/,"['programming', 'linux', 'python']",simonw/til,,english,,,16.0,0,True,,-17.0
60,Keyvan Akbary,https://keyvanakbary.github.io/learning-notes/,[],keyvanakbary/learning-notes,,english,,,3.0,0,True,,
61,Vegard Stikbakke's TILs,https://til.vegardstikbakke.com/,['programming'],vegarsti/til,,english,,,,0,True,,
62,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,,,3.0,0,True,,
63,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,,,,0,True,,
64,Kirill Gorbachyonok,https://github.com/japanese-goblinn/knowledge-base,"['programming', 'productivity']",japanese-goblinn/knowledge-base,,english,,,,0,True,,
65,whoibrar notes,https://notes.whoibrar.com/,"['productivity', 'programming', 'python']",,,english,,,,0,True,,
66,The Golden Forest,https://www.lorien.cloud/,"['linux', 'tools']",sdelrio/golden-forest,,english,,,4.0,0,True,,
67,StrikingLoo (Luciano's Digital Garden),https://strikingloo.github.io,"['productivity', 'programming', 'python']",StrikingLoo/strikingloo.github.io,,english,,,4.0,0,True,,
68,Pensieve,https://paveloom.github.io/pensieve,"['programming', 'linux', 'science']",paveloom/paveloom.github.io,,english,,,3.0,0,True,,
69,Brandon Boswell,https://brandonkboswell.com/,"['programming', 'productivity', 'design', 'mindfulness']",brandonkboswell/garden,,english,,,,0,True,,
70,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,,,2.0,-1,True,2.0,
71,Alex Pliutau,https://github.com/plutov/notebook,['programming'],plutov/notebook,,english,,,2.0,-1,True,2.0,
72,Alper Kanat,https://github.com/tunix/notebook,['linux'],tunix/notebook,,english,,,2.0,-1,True,2.0,
73,Bhupesh Varshney,https://til.bhupesh.me/,"['programming', 'linux', 'python']",Bhupesh-V/til,,english,,,2.0,-1,True,2.0,
74,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,,,2.0,-1,True,2.0,
75,.CLI,https://wiki.changbai.li/#/,"['programming', 'health']",dotcli/knowledge,,english,,,2.0,-1,True,2.0,
