,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count
18,enkiv2,https://www.lord-enki.net/,"['arts', 'science']",enkiv2/misc,,english,https://github.com/enkiv2/misc,2016-05-13 19:55:51,2022-05-07 03:24:22,2022-05-07 03:24:18,787,67.0,4.0,8.0,1.0,1.0,2.0,61.0,,9,True,2,,,,,,,
19,Gwern Branwen,https://www.gwern.net/,"['science', 'programming', 'arts']",gjord/gwern.net,,english,https://github.com/gjord/gwern.net,2014-07-03 17:41:01,2014-07-03 17:50:19,2014-07-03 17:50:18,8297,,20.0,4.0,,,,23.0,5.0,9,False,2,,,,,,,
20,Scott Spence,https://scottspence.com/posts,[],spences10/scottspence.com,,english,https://github.com/spences10/scottspence.com,2021-07-17 15:36:36,2022-05-11 15:47:19,2022-05-11 15:46:25,950,218.0,4.0,1.0,260.0,1.0,,11.0,6.0,9,True,2,,,,,,,
21,nkintc,https://nkintc.gitbook.io/brainless/,"['arts', 'science', 'linux']",nkintc/nkintc.github.io,,english,https://github.com/nkintc/nkintc.github.io,2020-04-30 17:33:44,2022-05-01 06:50:19,2022-05-01 06:50:18,359,18.0,,,2.0,,,,,9,True,2,MIT,,,,,,
22,Simon Vocella,https://github.com/voxsim/knowledge,"['science', 'programming']",voxsim/knowledge,,english,https://github.com/voxsim/knowledge,2017-02-10 13:21:49,2020-06-07 22:04:37,2020-06-07 22:04:32,1689,,6.0,6.0,,,,35.0,,8,True,2,,,,,,,
23,Wayanjimmy Notebook,https://notebook.wayanjimmy.xyz/,"['arts', 'programming', 'science', 'productivity']",wayanjimmy/notebook,,english,https://github.com/wayanjimmy/notebook,2019-07-04 11:37:40,2020-10-10 03:49:39,2020-10-10 03:49:33,489,,6.0,1.0,1.0,3.0,,26.0,3.0,8,True,2,MIT,,,,,,
24,Marc Loupias,https://memo-dev.marc-loupias.fr/,"['programming', 'linux']",MarcLoupias/memo-dev,,english,https://github.com/MarcLoupias/memo-dev,2017-05-07 16:44:33,2022-04-28 19:06:55,2021-11-20 17:06:04,879,,2.0,3.0,53.0,,,14.0,3.0,8,True,2,ISC,,,,,,
25,Karlicoss Exobrain,https://beepb00p.xyz/exobrain/,"['programming', 'arts', 'science', 'health', 'productivity']",karlicoss/exobrain,,english,https://github.com/karlicoss/exobrain,2020-03-07 16:16:24,2021-05-23 07:58:57,2021-05-23 07:58:48,102,,7.0,3.0,1.0,,,61.0,,7,True,2,CC-BY-4.0,,,,,,
26,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,https://github.com/wahyd4/knowledge,2017-06-02 09:24:45,2022-05-03 10:03:39,2022-05-03 10:03:38,229,18.0,7.0,5.0,,1.0,1.0,46.0,2.0,7,True,2,,,,,,,
27,Lee Byron,https://leebyron.com/til/,"['programming', 'linux']",leebyron/til,,english,https://github.com/leebyron/til,2022-01-04 00:11:18,2022-02-12 07:24:55,2022-02-12 07:24:31,178,1.0,3.0,4.0,,2.0,,46.0,,7,True,2,MIT,,,,,,
28,Omar Bahareth,https://wiki.omar.engineer/,"['programming', 'science']",obahareth/knowledge,,english,https://github.com/obahareth/knowledge,2018-10-01 15:35:49,2021-08-13 17:00:15,2021-08-13 17:00:14,122,,2.0,4.0,,,,26.0,,7,True,2,MIT,,,,,,
29,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,https://github.com/slowernews/notebook,2018-02-10 10:44:54,2022-05-12 14:22:19,2022-05-12 14:22:08,389,37.0,1.0,3.0,,,1.0,23.0,,7,True,2,,,,,,,
30,Maxime Vaillancourt,https://maximevaillancourt.com/notes,[],maximevaillancourt/maximevaillancourt.com,,english,https://github.com/maximevaillancourt/maximevaillancourt.com,2015-07-13 16:50:04,2022-04-13 22:33:10,2022-04-13 22:33:06,184,8.0,8.0,3.0,13.0,,5.0,20.0,3.0,7,True,2,,,,,,,
31,Kyle King recipes,https://recipes.kyleking.me/,['arts'],KyleKing/recipes,,english,https://github.com/KyleKing/recipes,2017-09-13 00:21:11,2022-04-21 01:46:54,2022-04-21 01:41:21,387,25.0,,2.0,7.0,1.0,8.0,4.0,2.0,7,True,2,MIT,,,,,,
32,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,https://github.com/eddyerburgh/notes,2019-08-09 06:56:25,2022-03-16 21:09:51,2022-03-16 21:09:48,123,6.0,9.0,4.0,4.0,,,36.0,2.0,6,True,2,,,,,,,
33,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,https://github.com/josephrexme/knowledge,2017-03-18 09:01:42,2021-10-29 15:05:30,2021-10-29 15:05:27,85,,1.0,4.0,,,1.0,29.0,,6,True,2,MIT,,,,,,
