,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
81,.CLI,https://wiki.changbai.li/#/,"['programming', 'health']",dotcli/knowledge,,english,https://github.com/dotcli/knowledge,,2018-12-09 14:00:32,2024-09-16 20:49:10,2022-12-19 19:32:28,138.0,,,1.0,2.0,,,6.0,,,2.0,2,True,3.0,,,,,,,
82,Alper Kanat,https://github.com/tunix/notebook,['linux'],tunix/notebook,,english,https://github.com/tunix/notebook,,2020-10-02 09:34:09,2024-11-11 22:33:37,2024-11-11 22:33:30,30.0,3.0,1.0,2.0,,,,4.0,,,2.0,2,True,3.0,,,,,,,
83,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,https://github.com/nbelzer/notes,,2020-04-25 18:21:31,2023-02-20 19:56:56,2022-12-03 14:28:47,110.0,,,2.0,41.0,1.0,,4.0,,,2.0,2,True,3.0,,,,,,,
84,Vegard Stikbakke's TILs,https://til.vegardstikbakke.com/,['programming'],vegarsti/til,,english,https://github.com/vegarsti/til,,2021-05-19 10:00:20,2024-09-20 07:09:43,2024-09-20 07:09:41,66.0,,,2.0,,,,1.0,,,,2,True,3.0,,,,,,,
85,Manassarn Manoonchai,https://wiki.monosor.com/,"['programming', 'productivity', 'arts']",narze/knowledge,,english,https://github.com/narze/knowledge,,2019-07-19 04:49:09,2020-11-10 04:50:23,2020-11-10 04:50:17,55.0,,,1.0,,,,,,,2.0,2,False,3.0,,,,,,,
86,Derelict garden,https://derelict.garden,"['programming', 'linux', 'science']",,"Digital garden, webring and community of hackers.",english,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,
87,Brandon Boswell,https://brandonkboswell.com/,"['programming', 'productivity', 'design', 'mindfulness']",brandonkboswell/garden,,english,https://github.com/brandonkboswell/garden,,2022-01-20 03:35:26,2024-03-25 13:25:42,2024-03-25 13:25:34,110.0,,,2.0,,,1.0,2.0,,,,0,True,,,,,,,,
88,Mathias Borgmalm,https://wiki.mathiasborgmalm.dev/,"['arts', 'programming']",MateBoy/knowledge-base,,english,,,,,,,,,,,,,,,,,0,True,,,,,,,,
89,Maxime Vaillancourt,https://maximevaillancourt.com/notes,[],maximevaillancourt/maximevaillancourt.com,,english,,,,,,,,,,,,,,,,,0,True,,,,,,,,
90,Jake Chvatal,https://wiki.jacob.chvatal.com/,[],jakeisnt/wiki,,english,,,,,,,,,,,,,,,,,0,True,,,,,,,,
91,Kirill Gorbachyonok,https://github.com/japanese-goblinn/knowledge-base,"['programming', 'productivity']",japanese-goblinn/knowledge-base,,english,,,,,,,,,,,,,,,,,0,True,,,,,,,,
92,whoibrar notes,https://notes.whoibrar.com/,"['productivity', 'programming', 'python']",,,english,,,,,,,,,,,,,,,,,0,True,,,,,,,,
93,Mehmet Kanat,https://github.com/mehmetka/notebook,['programming'],mehmetka/notebook,,english,https://github.com/mehmetkanatt/notebook,,2020-09-13 16:06:40,2024-11-30 11:53:11,2024-11-30 11:53:04,136.0,1.0,,1.0,,,,1.0,,,2.0,-1,True,3.0,mehmetkanatt/notebook,,,,,,
