,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads
81,.CLI,https://wiki.changbai.li/#/,"['programming', 'health']",dotcli/knowledge,,english,https://github.com/dotcli/knowledge,2018-12-09 14:00:32,2022-12-19 19:32:28,2022-12-19 19:32:28,138.0,,,1.0,1.0,,,4.0,2.0,2,True,3.0,,,,,,,,,,
82,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,https://github.com/nbelzer/notes,2020-04-25 18:21:31,2023-02-20 19:56:56,2022-12-03 14:28:47,110.0,,,2.0,41.0,1.0,,4.0,2.0,2,True,3.0,,,,,,,,,,
83,Alper Kanat,https://github.com/tunix/notebook,['linux'],tunix/notebook,,english,https://github.com/tunix/notebook,2020-10-02 09:34:09,2023-05-09 20:11:17,2023-05-09 20:11:17,25.0,3.0,,1.0,,,,3.0,2.0,2,True,3.0,,,,,,,,,,
84,Shreyas Minocha’s Wiki,https://wiki.shreyasminocha.me/index.html,"['science', 'programming', 'python']",shreyasminocha/wiki,,english,https://github.com/shreyasminocha/wiki,2020-05-21 16:08:32,2021-02-21 01:46:20,2021-02-21 01:45:23,50.0,,,2.0,,,,2.0,3.0,2,True,3.0,,,,,,,,,,
85,Manassarn Manoonchai,https://wiki.monosor.com/,"['programming', 'productivity', 'arts']",narze/knowledge,,english,https://github.com/narze/knowledge,2019-07-19 04:49:09,2020-11-10 04:50:23,2020-11-10 04:50:17,55.0,,,1.0,,,,,2.0,2,True,3.0,,,,,,,,,,
86,Derelict garden,https://derelict.garden,"['programming', 'linux', 'science']",,"Digital garden, webring and community of hackers.",english,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,
87,Mehmet Kanat,https://github.com/mehmetka/notebook,['programming'],mehmetka/notebook,,english,https://github.com/mehmetka/notebook,2020-09-13 16:06:40,2023-06-09 18:09:58,2023-06-09 18:09:51,120.0,1.0,,1.0,,,,1.0,2.0,0,True,,,,,,,,,,,
88,Kirill Gorbachyonok,https://github.com/japanese-goblinn/knowledge-base,"['programming', 'productivity']",japanese-goblinn/knowledge-base,,english,,,,,,,,,,,,,,0,True,,,,,,,,,,,
89,whoibrar notes,https://notes.whoibrar.com/,"['productivity', 'programming', 'python']",,,english,,,,,,,,,,,,,,0,True,,,,,,,,,,,
90,Brandon Boswell,https://brandonkboswell.com/,"['programming', 'productivity', 'design', 'mindfulness']",brandonkboswell/garden,,english,https://github.com/brandonkboswell/garden,2022-01-20 03:35:26,2023-05-20 22:43:08,2023-05-20 22:43:03,84.0,2.0,,1.0,,,1.0,,,0,True,,,,,,,,,,,
