,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads
18,Scott Spence,https://scottspence.com/posts,[],spences10/scottspence.com,,english,https://github.com/spences10/scottspence.com,2021-07-17 15:36:36,2023-08-01 16:54:49,2023-08-01 16:54:44,2173.0,250.0,9.0,2.0,615.0,2.0,2.0,39.0,10.0,10,True,2.0,,,,,,,,,,
19,Jethro's Braindump,https://braindump.jethro.dev/,"['science', 'linux', 'programming', 'activism']",jethrokuan/braindump,,english,https://github.com/jethrokuan/braindump,2017-03-02 14:55:34,2022-12-02 08:22:52,2022-12-02 08:22:44,574.0,,88.0,20.0,29.0,4.0,11.0,363.0,6.0,9,True,2.0,,,,,,,,,,
20,mistermicheels learning notes,https://learning-notes.mistermicheels.com/about/about/,['programming'],mistermicheels/learning-notes,,english,https://github.com/mistermicheels/learning-notes,2019-04-13 20:39:28,2023-07-07 21:21:47,2023-06-25 16:39:41,286.0,1.0,45.0,8.0,16.0,,,229.0,2.0,9,True,2.0,CC-BY-4.0,,,,,,,,,
21,enkiv2,https://www.lord-enki.net/,"['arts', 'science']",enkiv2/misc,,english,https://github.com/enkiv2/misc,2016-05-13 19:55:51,2023-07-21 18:52:24,2023-07-21 18:52:09,1097.0,25.0,4.0,9.0,1.0,1.0,2.0,63.0,,9,True,2.0,,,,,,,,,,
22,Gwern Branwen,https://www.gwern.net/,"['science', 'programming', 'arts']",gjord/gwern.net,,english,https://github.com/gjord/gwern.net,2014-07-03 17:41:01,2023-04-26 13:48:21,2014-07-03 17:50:18,8297.0,,20.0,4.0,,,,27.0,5.0,9,False,2.0,,,,,,,,,,
23,Jake Chvatal,https://wiki.jacob.chvatal.com/,[],jakeisnt/wiki,,english,https://github.com/jakeisnt/wiki,2020-07-06 23:00:29,2023-07-27 17:53:54,2023-07-27 17:53:50,1016.0,150.0,2.0,3.0,8.0,1.0,24.0,6.0,5.0,9,True,2.0,,,,,,,,,,
24,StrikingLoo (Luciano's Digital Garden),https://strikingloo.github.io,"['productivity', 'programming', 'python']",StrikingLoo/strikingloo.github.io,,english,https://github.com/StrikingLoo/strikingloo.github.io,2020-06-11 20:36:07,2023-07-27 07:11:37,2023-07-27 07:11:27,1491.0,15.0,3.0,3.0,21.0,,,6.0,4.0,9,True,2.0,,,,,,,,,,
25,Simon Vocella,https://github.com/voxsim/knowledge,"['science', 'programming']",voxsim/knowledge,,english,https://github.com/voxsim/knowledge,2017-02-10 13:21:49,2020-06-07 22:04:37,2020-06-07 22:04:32,1689.0,,6.0,6.0,,,,34.0,,8,True,2.0,,,,,,,,,,
26,pawamoy's website,https://pawamoy.github.io,"['programming', 'python', 'science']",pawamoy/website/,,english,https://github.com/pawamoy/website,2020-06-04 21:33:15,2023-07-15 17:08:06,2023-07-15 17:07:54,218.0,8.0,4.0,5.0,2.0,4.0,,32.0,,8,True,2.0,,,,,,,,,,
27,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,https://github.com/rknightuk/intersect,2021-08-23 20:20:08,2023-07-31 08:25:30,2023-07-31 08:25:28,161.0,10.0,2.0,3.0,1.0,,,22.0,,8,True,2.0,,,,,,,,,,
